[07:09:01] 🚀 CUDA GPU: Tesla V100-SXM2-32GB
[07:09:01] Inference Server running on: cuda:0
[07:09:01] Inference Server: 等待 Trainer 注入已完成手术的初始权重...
[07:09:16] Worker 0 started.
[07:09:17] Worker 1 started.
[07:09:17] Worker 2 started.
[07:09:18] Worker 3 started.
[07:09:18] Worker 4 started.
[07:09:19] Worker 5 started.
[07:09:19] Worker 6 started.
[07:09:20] Worker 7 started.
[07:09:20] Worker 8 started.
[07:09:21] Worker 9 started.
[07:09:21] Worker 10 started.
[07:09:22] Worker 11 started.
[07:09:22] Worker 12 started.
[07:09:23] Worker 13 started.
[07:09:23] Worker 14 started.
[07:09:24] Worker 15 started.
[07:09:24] 🚀 CUDA GPU: Tesla V100-SXM2-32GB
[07:09:24] Trainer running on: cuda:0
[07:09:24] Worker 16 started.
[07:09:25] Worker 17 started.
[07:09:25] ✅ 成功加载 PPO Elite 模型，开启 Self-Play 进阶训练！
[07:09:25] PPO Conditioned Training (Domain Randomization) Start.
[07:09:25] ✅ Inference Server: 初始权重接收完毕，开启高频推理循环！
[07:09:25] Worker 18 started.
[07:09:26] Worker 19 started.
[07:14:13] STEPS: 95568 | P_LOSS: 0.0063 | V_LOSS: 2.1544 | ENT: 0.0183 | REWARD: -0.30
[07:14:16] STEPS: 96592 | P_LOSS: 0.0072 | V_LOSS: 1.8070 | ENT: 0.0183 | REWARD: -0.57
[07:14:19] STEPS: 97619 | P_LOSS: 0.0017 | V_LOSS: 1.8728 | ENT: 0.0182 | REWARD: -0.57
[07:14:22] STEPS: 98649 | P_LOSS: 0.0135 | V_LOSS: 1.7551 | ENT: 0.0182 | REWARD: -0.20
[07:14:26] STEPS: 99678 | P_LOSS: 0.0071 | V_LOSS: 1.9348 | ENT: 0.0182 | REWARD: -0.80
[07:14:29] STEPS: 100705 | P_LOSS: 0.0049 | V_LOSS: 1.7980 | ENT: 0.0182 | REWARD: -0.53
[07:14:32] STEPS: 101730 | P_LOSS: 0.0016 | V_LOSS: 1.9031 | ENT: 0.0182 | REWARD: -0.58
[07:14:35] STEPS: 102760 | P_LOSS: 0.0051 | V_LOSS: 1.8334 | ENT: 0.0182 | REWARD: -0.57
[07:14:38] STEPS: 103785 | P_LOSS: 0.0912 | V_LOSS: 1.7822 | ENT: 0.0181 | REWARD: 0.23
[07:14:41] STEPS: 104815 | P_LOSS: 0.0054 | V_LOSS: 1.7456 | ENT: 0.0181 | REWARD: -0.31
[07:14:44] STEPS: 105844 | P_LOSS: 0.0048 | V_LOSS: 1.6242 | ENT: 0.0181 | REWARD: -0.74
[07:14:48] STEPS: 106869 | P_LOSS: 0.0063 | V_LOSS: 2.0182 | ENT: 0.0181 | REWARD: -0.70
[07:14:51] STEPS: 107897 | P_LOSS: 0.0058 | V_LOSS: 1.8752 | ENT: 0.0181 | REWARD: -0.47
[07:14:54] STEPS: 108924 | P_LOSS: 0.0055 | V_LOSS: 1.7749 | ENT: 0.0180 | REWARD: -0.07
[07:14:57] STEPS: 109952 | P_LOSS: 0.0086 | V_LOSS: 1.9136 | ENT: 0.0180 | REWARD: -0.09
[07:15:00] STEPS: 110979 | P_LOSS: 0.0056 | V_LOSS: 1.6645 | ENT: 0.0180 | REWARD: -0.31
[07:15:03] STEPS: 112005 | P_LOSS: 0.0096 | V_LOSS: 1.9872 | ENT: 0.0180 | REWARD: -0.37
[07:15:06] STEPS: 113036 | P_LOSS: 0.0144 | V_LOSS: 1.8808 | ENT: 0.0180 | REWARD: -0.14
[07:15:09] STEPS: 114064 | P_LOSS: 0.0080 | V_LOSS: 1.6893 | ENT: 0.0179 | REWARD: -0.60
[07:15:12] STEPS: 115090 | P_LOSS: 0.0043 | V_LOSS: 1.7644 | ENT: 0.0179 | REWARD: -0.52
